Metric,Result
Most words spoken,"Edward, 57 words"
Least words spoken,"Aidan, 29 words"
Most questions,"Dan, 2 question(s)"
Total speaking time,92.81 sec(s)
"Average speaking time, rank 1","Marcos, 5.36 sec(s)"
"Average speaking time, rank 2","Dan, 4.29 sec(s)"
"Average speaking time, rank 3","Edward, 4.29 sec(s)"
"Average speaking time, rank 4","Aidan, 3.37 sec(s)"
"Average speech rate, rank 1","Edward, 2.24 words/second"
"Average speech rate, rank 2","Aidan, 2.14 words/second"
"Average speech rate, rank 3","Dan, 2.1 words/second"
"Average speech rate, rank 4","Marcos, 1.74 words/second"
"Total speaking time, rank 1","Marcos, 32.14 sec(s)"
"Total speaking time, rank 2","Edward, 25.72 sec(s)"
"Total speaking time, rank 3","Dan, 21.47 sec(s)"
"Total speaking time, rank 4","Aidan, 13.48 sec(s)"
